,Fear_UTER,Area_size,Ceiling_height,Light_contrast,Light_levels,Light_temperature,Blocked_path,Empty_room,Hiding_place,Interior_arrangement,Triggers_present,Battery_present,Note_present,Event,Cutscene,Channel_id
0,1.0,1,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,AngelAlyx
1,1.0,-1,0,1,1,0,1,0,0,-1,0,0,0,-1,0,AngelAlyx
2,1.0,0,0,0,-1,1,-1,0,0,1,-1,0,1,0,0,AngelAlyx
3,1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,AngelAlyx
4,1.0,1,1,1,0,0,-1,0,0,1,-1,0,1,-1,-1,AngelAlyx
5,1.0,0,-1,0,-1,-1,1,0,0,0,0,0,-1,0,0,AngelAlyx
6,1.0,-1,0,0,1,0,-1,0,0,0,0,0,1,0,0,AngelAlyx
7,1.0,1,0,0,0,1,1,-1,0,-1,0,0,1,0,0,AngelAlyx
8,1.0,-1,-1,-1,0,-1,0,1,0,0,1,0,-1,1,0,AngelAlyx
9,1.0,-1,0,0,0,0,0,-1,0,0,-1,0,1,-1,0,AngelAlyx
10,1.0,-1,-1,1,1,0,0,1,0,0,0,0,-1,0,0,AngelAlyx
11,1.0,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,AngelAlyx
12,1.0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,AngelAlyx
13,1.0,-1,0,0,0,0,-1,0,1,0,0,0,0,1,0,AngelAlyx
14,1.0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,AngelAlyx
15,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,AngelAlyx
16,1.0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,AngelAlyx
17,1.0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0,AngelAlyx
18,-1.0,0,0,0,-1,0,-1,0,0,1,-1,1,0,0,0,AngelAlyx
19,-1.0,0,0,0,1,0,1,0,0,-1,1,-1,0,0,0,AngelAlyx
20,-1.0,0,0,0,1,-1,1,0,0,-1,1,0,-1,1,0,AngelAlyx
21,-1.0,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,AngelAlyx
22,-1.0,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,AngelAlyx
23,-1.0,0,0,0,-1,1,0,0,0,-1,1,0,-1,0,0,AngelAlyx
24,-1.0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,AngelAlyx
25,-1.0,1,0,-1,-1,0,0,0,0,0,1,0,-1,-1,0,AngelAlyx
26,-1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,1,0,AngelAlyx
27,-1.0,1,0,0,0,0,1,0,-1,0,0,0,0,-1,0,AngelAlyx
28,-1.0,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,AngelAlyx
29,-1.0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,AngelAlyx
30,-1.0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,AngelAlyx
31,-1.0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,AngelAlyx
32,-1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,1,0,AngelAlyx
33,-1.0,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,AngelAlyx
34,-1.0,0,0,0,-1,0,-1,0,0,1,-1,1,0,0,0,AngelAlyx
35,-1.0,1,0,-1,-1,0,0,0,0,0,1,0,-1,-1,0,AngelAlyx
36,1.0,1,0,-1,-1,0,-1,0,0,1,0,0,0,1,0,Anida
37,1.0,-1,0,1,1,0,1,0,0,-1,0,0,0,-1,0,Anida
38,1.0,0,0,0,-1,0,-1,0,0,1,-1,1,0,0,0,Anida
39,1.0,0,0,0,-1,1,-1,0,0,1,-1,0,1,0,0,Anida
40,1.0,1,1,1,1,0,1,-1,0,-1,-1,0,0,0,0,Anida
41,1.0,0,0,-1,-1,0,0,0,0,0,1,0,1,0,0,Anida
42,1.0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,Anida
43,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Anida
44,1.0,-1,-1,-1,0,-1,0,1,0,0,0,1,-1,0,0,Anida
45,1.0,1,1,1,1,0,0,0,0,0,0,-1,1,0,0,Anida
46,1.0,-1,0,0,1,0,-1,0,0,0,0,0,1,0,0,Anida
47,1.0,0,0,0,-1,1,0,0,0,-1,1,0,-1,0,0,Anida
48,1.0,-1,0,-1,1,0,0,1,0,0,0,0,0,0,0,Anida
49,1.0,1,0,0,0,1,1,-1,0,-1,0,0,1,0,0,Anida
50,1.0,0,1,0,1,1,-1,0,0,0,0,0,1,1,0,Anida
51,1.0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,Anida
52,1.0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,Anida
53,1.0,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,Anida
54,1.0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,Anida
55,1.0,1,0,0,0,0,1,0,0,0,0,1,-1,1,0,Anida
56,1.0,-1,0,0,0,0,-1,0,1,0,0,1,0,0,0,Anida
57,1.0,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,Anida
58,1.0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,0,Anida
